[07/Jul/2021 10:25:34] INFO [django.utils.autoreload:617] Watching for file changes with StatReloader
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:304] Waiting for apps ready_event.
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:316] Apps ready_event triggered. Sending autoreload_started signal.
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:270] Watching dir C:\Users\16094\Documents\project4\locale with glob **/*.mo.
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:270] Watching dir C:\Users\16094\Documents\project4\network\locale with glob **/*.mo.
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\_compat_pickle.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\numbers.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1613662919.0678432
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\operator.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\_sitebuiltins.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\genericpath.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\forms\widgets.py first seen with mtime 1613662923.0635288
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\__init__.py first seen with mtime 1613662922.9587674
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\asyncio\queues.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\email\message.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\email\_parseaddr.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\argparse.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\urls\base.py first seen with mtime 1613662923.1482613
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1613662923.0495598
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1613662919.0568728
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\uu.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\utils\http.py first seen with mtime 1613662923.1731956
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\core\validators.py first seen with mtime 1613662922.8849108
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1613662923.1342983
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1613662922.9128377
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1613662923.124325
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\base64.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1613662923.0026512
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\calendar.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1613662920.9890509
